pottername	limes	count
Pi-	Elisabethenstrasse	1
Pleveus	Elisabethenstrasse	1
Ponteius	Elisabethenstrasse	1
Pontus (Pontius)?	Elisabethenstrasse	4
Potitus i	Elisabethenstrasse	2
Potitus ii	Elisabethenstrasse	1
Primulus i	Elisabethenstrasse	2
Primus i	Elisabethenstrasse	1
Primus iii	Elisabethenstrasse	11
Primus iii-Sco-	Elisabethenstrasse	1
Quartus iii	Elisabethenstrasse	1
Quintanus	Elisabethenstrasse	1
Quintus iii	Elisabethenstrasse	3
Regenus	Elisabethenstrasse	1
Rogatus	Elisabethenstrasse	1
Roppus i	Elisabethenstrasse	1
Rufinus ii	Elisabethenstrasse	1
Rufinus iii	Elisabethenstrasse	4
Rufus iii	Elisabethenstrasse	1
Rusticus	Elisabethenstrasse	1
S- Verius (Sex. Verius)?	Elisabethenstrasse	1
Sabinus iii	Elisabethenstrasse	3
Salvetus i (Salve tu - Salve)?	Elisabethenstrasse	1
Sarrutus	Elisabethenstrasse	2
Scottius i	Elisabethenstrasse	3
Secundinus i	Elisabethenstrasse	2
Secundus i	Elisabethenstrasse	4
Secundus ii	Elisabethenstrasse	3
Senicio	Elisabethenstrasse	2
Sentrus i	Elisabethenstrasse	1
Severus iii	Elisabethenstrasse	13
Sextius Can- (Sex- Can-)	Elisabethenstrasse	2
Silvanus i	Elisabethenstrasse	1
Silvinus ii	Elisabethenstrasse	5
Silvius i	Elisabethenstrasse	5
Stabilio	Elisabethenstrasse	1
Successus ii (Sucesus)	Elisabethenstrasse	2
Sulpicius	Elisabethenstrasse	10
T. Iulius Apa- (T. Iul- Apa-)	Elisabethenstrasse	1
Tertius iii	Elisabethenstrasse	2
Tetio ii	Elisabethenstrasse	1
Tetus (Tetius)	Elisabethenstrasse	2
Urs- i (Ursus i)?	Elisabethenstrasse	1
Vapuso (Vapusus)	Elisabethenstrasse	6
Vaxius?	Elisabethenstrasse	1
Verecundus ii	Elisabethenstrasse	2
Vin- i	Elisabethenstrasse	1
Virilis ii	Elisabethenstrasse	6
Virtus i	Elisabethenstrasse	3
Vitalis i	Elisabethenstrasse	4
Vitalis ii	Elisabethenstrasse	20
Volus	Elisabethenstrasse	1
C. Cincius Senovirus (G. Cingius)	HadriansWall	2
Caicus	HadriansWall	1
Coelus ii	HadriansWall	1
Crassus	HadriansWall	1
Flavius Germanus (L. Flavius Germanus)	HadriansWall	1
Iustus i	HadriansWall	1
L. Cosius Virilis	HadriansWall	1
Mercator i (Mercatoris)?	HadriansWall	1
Patricius i	HadriansWall	2
Tabius Virtus (Tabus-Virtus or Tabus-Virutis)?	HadriansWall	1
Calvinus i	Neckarlimes	1
Calvus i	Neckarlimes	2
Frontinus	Neckarlimes	1
Iullinus i	Neckarlimes	1
L. Cosius Virilis	Neckarlimes	1
Mas- iv	Neckarlimes	1
Mercator i (Mercatoris)?	Neckarlimes	1
Paullus iii	Neckarlimes	1
Rufus iii	Neckarlimes	1
Sabinus iii	Neckarlimes	1
Sarrutus	Neckarlimes	1
Senicio	Neckarlimes	1
Severus iii	Neckarlimes	1
Virilis ii	Neckarlimes	1
Albinus iii	NoordzeeKust	1
Avitus ii	NoordzeeKust	1
C. Iulius Primig- (C. Iul- Primic- or G. Iul- Prim- etc.)	NoordzeeKust	1
Caicus	NoordzeeKust	1
Censor i	NoordzeeKust	1
Felix i	NoordzeeKust	1
Frontinus	NoordzeeKust	1
Fuscus ii	NoordzeeKust	2
Geminus i	NoordzeeKust	1
Ingenuus ii	NoordzeeKust	1
Iucundus iii	NoordzeeKust	2
L. Cosius Virilis	NoordzeeKust	1
L. Tr- Masculus	NoordzeeKust	1
Lucceius i	NoordzeeKust	1
Masclus i (Masculus)	NoordzeeKust	1
Memor	NoordzeeKust	3
Mont- Cres- (Montius Cres)	NoordzeeKust	1
Montanus i	NoordzeeKust	1
Niger ii	NoordzeeKust	1
Patricius i	NoordzeeKust	1
Severus iii	NoordzeeKust	2
T. Flavius Secundus	NoordzeeKust	1
Virilis ii	NoordzeeKust	4
Vitalis ii	NoordzeeKust	1
Felicio ii	Odenwaldlimes	1
Flavius Germanus (L. Flavius Germanus)	Odenwaldlimes	1
Fuscus i or ii	Odenwaldlimes	1
Fuscus ii	Odenwaldlimes	1
